4.7446,3.0136,5.1062,3.0631,13.2328,2.1247,12.714,1.9434
4.7793,2.9517,5.134,2.9849,12.6323,2.4487,12.0011,2.207
5.3989,3.6617,5.8824,3.7223,12.738,2.545,12.1008,2.2612
5.555,3.3325,6.1049,3.3252,12.6236,2.5126,11.9073,2.1872
5.2692,3.4433,6.0,3.484,12.8383,2.7239,11.9134,2.3084
5.4532,3.2561,6.0058,3.2323,12.7774,2.4795,12.0931,2.1872
5.734,3.8154,7.2403,3.7183,12.5636,2.8786,10.7243,1.8146
5.3793,3.3261,6.006,3.3626,12.6433,2.5024,11.7467,1.9737
6.1652,4.1618,7.2444,4.086,12.5203,2.6024,11.5027,2.0283
5.403,3.343,5.924,3.3561,12.6172,2.4854,11.9896,2.1611
5.2294,3.1612,5.765,3.17,12.8397,2.3045,12.1242,1.9587
5.5574,3.4397,6.0769,3.4632,12.6497,2.4257,11.9286,2.1109
5.069,3.1848,5.8302,3.1865,12.8433,2.4911,11.8564,2.0785
5.2736,3.1935,5.9937,3.2165,13.0084,2.4794,11.9877,2.0383
4.8088,2.6472,5.5613,2.6005,12.8996,2.6215,11.6155,2.0891
5.7,3.2909,6.1073,3.2806,12.0402,2.5784,11.44,2.2285
5.3481,3.3217,5.953,3.3565,12.7734,2.5691,11.9046,2.2255
5.5969,3.6294,6.2803,3.6518,12.901,2.4089,12.085,2.1307
5.0818,3.3565,5.8343,3.357,13.0724,2.4166,12.0861,2.1507
5.155,3.2636,5.6337,3.2689,12.8455,2.2822,12.1541,2.1545
5.3472,3.339,5.8841,3.3339,12.9836,2.3806,12.3405,2.2122
5.311,3.2109,6.0059,3.1632,12.9951,2.2191,12.0659,1.9422
5.3717,3.56,5.7964,3.6089,12.6127,2.3819,11.9889,2.1532
5.3693,3.5651,6.0207,3.5978,12.8277,2.4871,12.0206,2.1761
5.1716,3.0989,5.6343,3.1063,12.8603,2.2963,12.2074,2.1222
5.1508,2.8615,5.5057,2.8504,12.5128,2.4306,11.9541,2.18
5.1239,2.8732,5.6595,2.7876,12.4569,2.4219,11.6781,2.102
5.6298,3.6642,6.1806,3.6711,12.1349,2.5261,11.4282,2.0313
5.4308,3.4372,6.2781,3.4587,12.512,2.76,11.2844,2.0809
4.8802,2.6734,5.75,2.5739,12.5061,2.7339,11.0577,1.8128
4.7787,2.6678,6.1458,2.5738,13.1298,3.0387,10.8755,1.8304
5.2337,3.2927,5.7908,3.3346,12.7784,2.5541,11.9642,2.2461
5.6716,3.7551,6.4444,3.7859,12.4733,2.7426,11.5448,2.3049
5.209,3.1141,5.8659,3.0753,12.9448,2.4247,12.0677,2.1226
5.5907,3.4601,6.2975,3.432,12.1723,2.7125,11.1951,2.1196
5.2202,3.0781,5.7814,3.0346,12.7052,2.3148,11.9717,1.9228
5.6477,3.8229,6.1634,3.8339,12.6773,2.4518,12.0493,2.236
5.7045,3.2462,6.4207,3.1331,12.3984,2.4299,11.4393,2.0162
4.9513,2.7057,5.6102,2.6977,12.736,2.7021,11.5694,2.1784
5.2587,3.2389,5.9212,3.2004,12.578,2.5407,11.6651,2.1895
5.2562,3.2352,5.8982,3.2086,12.6101,2.5199,11.7618,2.1036
