[4.8827, 3.2485, 5.3174, 3.3195, 12.3482, 2.4672, 11.6036, 2.0501]
[5.0691, 2.9644, 5.5886, 2.9449, 12.4585, 2.5798, 11.6481, 2.1198]
[4.75, 3.2226, 5.2675, 3.3394, 13.3368, 2.1755, 12.49, 2.0118]
[4.73, 2.7442, 5.2412, 2.6867, 12.455, 2.4722, 11.6796, 2.0485]
[4.3391, 3.0953, 4.8495, 3.216, 13.2867, 2.3575, 12.5455, 2.1243]
[4.8626, 3.3066, 5.5417, 3.3627, 13.0916, 2.363, 12.2336, 1.9918]
[4.6649, 3.055, 5.2614, 3.1181, 13.3916, 2.1388, 12.5606, 1.8889]
[4.8278, 3.3201, 5.3647, 3.45, 13.1535, 2.3349, 12.3113, 2.0176]
[5.0824, 3.2596, 5.535, 3.278, 12.6866, 2.2417, 12.0112, 1.9228]
[4.8261, 2.7271, 5.3311, 2.747, 12.5781, 2.678, 11.6962, 2.2064]
[4.8415, 2.5708, 5.2254, 2.5409, 12.5997, 2.2454, 11.9815, 1.9029]
[4.955, 2.9771, 5.3801, 3.0032, 12.4572, 2.5843, 11.7291, 2.1897]
[4.7919, 2.8181, 5.4258, 2.842, 12.651, 2.6412, 11.5352, 2.0332]
[4.6313, 3.0152, 5.3595, 3.0371, 12.5819, 2.7511, 11.3687, 2.1621]
[5.0105, 3.6337, 5.5188, 3.75, 12.4998, 2.5502, 11.7003, 2.1041]
[4.9415, 3.1664, 5.4911, 3.2089, 12.5542, 2.5224, 11.6938, 1.9787]
[4.3947, 2.2247, 4.7462, 2.206, 13.0041, 2.2285, 12.3848, 1.9265]
[5.3425, 3.423, 6.0822, 3.4013, 12.8052, 2.517, 11.8568, 2.1535]
[5.4202, 3.4991, 6.2119, 3.448, 12.549, 2.6802, 11.5182, 2.1241]
[5.1436, 3.0935, 5.88, 3.022, 12.1785, 2.7307, 11.0362, 2.0266]
[5.5784, 3.3249, 6.0932, 3.2491, 12.0279, 2.5158, 11.3578, 2.0837]
